repository,analysis_duration_seconds,total_commits,test_files_added,test_helpers,prod_files_added,matched_pairs,multi_test_prods,test_first_count,same_commit_count,prod_first_count,test_first_%,same_commit_%,prod_first_%,unmatched_test_files,unmatched_prod_files,match_rate_%
flink-connector-kafka,32.0,972,147,20,275,70,3,0,51,19,0.0,72.9,27.1,57,210,55.1
maven-shared,89.2,3387,249,26,747,190,0,0,134,56,0.0,70.5,29.5,33,557,85.2
accumulo-fluo,22.1,1031,50,5,356,38,0,0,16,22,0.0,42.1,57.9,7,318,84.4
olingo-odata2,35.1,942,378,24,1371,186,9,12,144,30,6.5,77.4,16.1,168,1194,52.5
metamodel,27.3,893,217,21,641,158,2,1,133,24,0.6,84.2,15.2,38,485,80.6
polaris,71.1,2243,296,20,1001,161,10,3,114,44,1.9,70.8,27.3,115,850,58.3
stormcrawler,58.3,2398,86,6,217,46,3,1,14,31,2.2,30.4,67.4,34,174,57.5
sling-org-apache-sling-scripting-core,16.1,532,26,4,81,19,0,0,7,12,0.0,36.8,63.2,3,62,86.4
commons-weaver,19.4,749,18,2,100,8,0,0,6,2,0.0,75.0,25.0,8,92,50.0
gravitino,119.7,3327,712,35,2501,411,6,9,246,156,2.2,59.9,38.0,266,2097,60.7
incubator-retired-tamaya-sandbox,13.8,527,152,5,483,71,3,8,36,27,11.3,50.7,38.0,76,418,48.3
sling-org-apache-sling-api,17.2,725,52,0,169,48,4,0,31,17,0.0,64.6,35.4,4,128,92.3
samza,75.8,2610,588,77,1251,334,7,16,257,61,4.8,76.9,18.3,177,924,65.4
pinot,518.3,14399,2055,109,7105,1402,79,52,769,581,3.7,54.9,41.4,544,5806,72.0
aries-rsa,32.5,1052,168,12,292,85,4,11,43,31,12.9,50.6,36.5,71,212,54.5
ambari,894.7,25087,1384,41,4827,1118,35,33,703,382,3.0,62.9,34.2,225,3755,83.2
incubator-ambari,155.7,3673,275,9,915,230,6,5,134,91,2.2,58.3,39.6,36,691,86.5
knox,111.1,3041,534,36,1316,362,11,12,249,101,3.3,68.8,27.9,136,969,72.7
tika,296.0,9919,595,34,1831,409,57,26,241,142,6.4,58.9,34.7,152,1491,72.9
oltu,21.6,860,69,19,278,45,2,0,32,13,0.0,71.1,28.9,5,235,90.0
gobblin,165.3,6523,1020,61,3018,759,27,26,474,259,3.4,62.5,34.1,200,2290,79.1
sling-org-apache-sling-distribution-core,18.1,538,87,2,258,83,0,1,52,30,1.2,62.7,36.1,2,175,97.6
sling-slingfeature-maven-plugin,19.5,781,23,2,64,15,0,0,5,10,0.0,33.3,66.7,6,49,71.4
commons-bcel,104.3,3261,205,6,452,100,3,0,3,97,0.0,3.0,97.0,99,360,50.3
bifromq,41.5,705,652,55,1579,386,30,9,292,85,2.3,75.6,22.0,211,1250,64.7
axis-axis2-java-sandesha,29.1,884,110,3,369,41,18,10,18,13,24.4,43.9,31.7,66,347,38.3
servicemix3,105.1,2968,553,25,1569,198,17,7,134,57,3.5,67.7,28.8,330,1394,37.5
tuscany-sdo,17.7,530,166,75,204,1,0,1,0,0,100.0,0.0,0.0,90,203,1.1
qpid-broker-j,341.9,9311,1675,94,5260,885,80,107,421,357,12.1,47.6,40.3,696,4495,56.0
apex-core,144.7,6122,190,5,548,93,7,10,30,53,10.8,32.3,57.0,92,463,50.3
hertzbeat,150.4,2696,327,2,1099,273,16,2,89,182,0.7,32.6,66.7,52,843,84.0
directory-ldap-api,240.2,6475,883,19,3780,692,108,31,315,346,4.5,45.5,50.0,172,3339,80.1
felix-dev,545.0,17589,1585,174,8149,664,89,144,265,255,21.7,39.9,38.4,761,7623,47.1
maven-plugins,478.7,15063,719,61,2156,364,28,23,165,176,6.3,45.3,48.4,294,1856,55.3
rocketmq,221.6,8969,685,29,2139,537,37,15,176,346,2.8,32.8,64.4,120,1652,81.9
maven-war-plugin,24.5,821,38,2,41,11,1,0,3,8,0.0,27.3,72.7,25,31,30.6
commons-graph,28.0,915,53,27,203,8,0,0,8,0,0.0,100.0,0.0,18,195,30.8
chukwa,40.8,854,142,4,445,49,0,0,37,12,0.0,75.5,24.5,89,396,35.5
cxf-fediz,80.5,2372,101,8,462,23,5,4,5,14,17.4,21.7,60.9,70,445,24.7
sling-whiteboard,85.8,1901,297,22,1141,189,5,2,126,61,1.1,66.7,32.3,86,961,68.7
plc4x-extras,17.4,574,28,0,135,21,0,0,21,0,0.0,100.0,0.0,7,114,75.0
opennlp-sandbox,39.8,830,155,11,809,114,7,3,45,66,2.6,39.5,57.9,30,702,79.2
onami,24.9,744,214,51,403,26,2,2,23,1,7.7,88.5,3.8,137,379,16.0
maven-project-info-reports-plugin,31.7,1105,57,3,46,28,2,0,15,13,0.0,53.6,46.4,26,20,51.9
openwebbeans,162.8,4246,1218,77,976,92,13,15,21,56,16.3,22.8,60.9,1049,900,8.1
logging-log4j1,105.8,3237,111,1,902,70,3,8,19,43,11.4,27.1,61.4,40,835,63.6
servicemix4-nmr,21.4,678,62,7,317,36,1,2,22,12,5.6,61.1,33.3,19,282,65.5
commons-chain,20.6,715,50,35,143,6,1,4,1,1,66.7,16.7,16.7,9,138,40.0
pig,161.9,3767,633,8,2078,50,0,3,37,10,6.0,74.0,20.0,575,2028,8.0
servicemix4-features,34.3,1085,57,3,151,20,1,5,3,12,25.0,15.0,60.0,34,135,37.0
bval,39.1,1418,234,10,486,50,4,0,40,10,0.0,80.0,20.0,174,442,22.3
drill,232.9,4566,1141,46,4449,236,9,8,160,68,3.4,67.8,28.8,859,4228,21.6
servicecomb-java-chassis,201.6,4646,1249,54,3329,789,31,28,562,199,3.5,71.2,25.2,407,2580,66.0
hop,480.0,8669,2531,49,7048,1895,273,31,1635,229,1.6,86.3,12.1,587,5518,76.3
jena,461.3,12603,3016,252,7745,752,39,45,526,181,6.0,69.9,24.1,2012,7035,27.2
freemarker,107.6,2561,254,8,719,73,7,4,25,44,5.5,34.2,60.3,173,660,29.7
maven-artifact,15.3,610,45,8,156,24,0,0,12,12,0.0,50.0,50.0,13,132,64.9
nifi,594.1,11341,2527,179,8966,1792,46,14,1387,391,0.8,77.4,21.8,556,7236,76.3
eagle,43.1,1050,453,21,1775,207,8,5,105,97,2.4,50.7,46.9,225,1576,47.9
oodt,81.3,2251,384,30,1863,289,42,14,173,102,4.8,59.9,35.3,65,1616,81.6
incubator-hugegraph,90.2,2067,344,1,1553,185,25,25,37,123,13.5,20.0,66.5,158,1397,53.9
flink-connector-hive,30.7,782,64,4,304,31,1,2,16,13,6.5,51.6,41.9,29,275,51.7
cayenne,282.0,7453,1730,198,3890,567,49,32,386,149,5.6,68.1,26.3,965,3388,37.0
curator,86.0,2879,207,10,716,69,3,5,49,15,7.2,71.0,21.7,128,652,35.0
wicket,732.6,22103,2402,143,4974,1092,154,112,351,629,10.3,32.1,57.6,1168,4375,48.3
commons-jci,23.1,1073,38,24,80,0,0,0,0,0,0.0,0.0,0.0,14,80,0.0
tsfile,48.3,1401,378,16,1236,222,38,22,156,44,9.9,70.3,19.8,140,1060,61.3
mina-sshd,110.6,3116,385,25,1185,223,17,9,84,130,4.0,37.7,58.3,137,983,61.9
amoro,118.2,1768,909,101,2162,228,16,5,164,59,2.2,71.9,25.9,580,1953,28.2
jspwiki,303.3,9682,587,3,1627,401,74,58,202,141,14.5,50.4,35.2,183,1304,68.7
camel-examples,106.4,2780,148,2,658,34,5,1,21,12,2.9,61.8,35.3,112,631,23.3
incubator-kie-kogito-runtimes,1015.3,20939,4030,259,16196,1723,156,186,846,691,10.8,49.1,40.1,2048,14796,45.7
derby,336.7,8269,538,3,2838,82,3,13,20,49,15.9,24.4,59.8,453,2760,15.3
uima-ruta,107.5,2619,263,4,2789,67,5,4,23,40,6.0,34.3,59.7,192,2728,25.9
tez,114.6,3063,330,21,1285,175,4,5,82,88,2.9,46.9,50.3,134,1114,56.6
lens,70.5,2449,237,20,788,90,2,2,59,29,2.2,65.6,32.2,127,700,41.5
flink-statefun,33.6,823,128,2,692,98,8,3,68,27,3.1,69.4,27.6,28,602,77.8
velocity-tools,52.9,1857,49,4,283,25,3,0,6,19,0.0,24.0,76.0,20,261,55.6
continuum,144.0,4870,232,35,781,114,6,2,57,55,1.8,50.0,48.2,83,673,57.9
incubator-retired-edgent,37.6,1398,98,12,374,34,2,0,27,7,0.0,79.4,20.6,52,343,39.5
dubbo-spi-extensions,18.0,630,535,59,1105,252,18,45,170,37,17.9,67.5,14.7,224,901,52.9
datafu,16.9,637,78,2,183,18,1,1,16,1,5.6,88.9,5.6,58,166,23.7
commons-digester,73.1,2947,132,54,353,23,5,8,1,14,34.8,4.3,60.9,55,336,29.5
gora,35.8,1422,177,15,495,69,5,1,56,12,1.4,81.2,17.4,93,433,42.6
tomcat80,474.2,15944,413,12,2667,203,8,3,24,176,1.5,11.8,86.7,198,2474,50.6
incubator-heron,129.7,3308,279,9,1373,228,17,18,157,53,7.9,68.9,23.2,42,1165,84.4
openjpa,202.2,5394,3231,71,2007,171,21,57,39,75,33.3,22.8,43.9,2989,1904,5.4
maven-archetype,39.1,1432,42,2,258,34,5,2,20,12,5.9,58.8,35.3,6,229,85.0
rocketmq-clients,57.2,1274,89,4,591,78,1,1,21,56,1.3,26.9,71.8,7,514,91.8
archiva,342.4,8785,911,129,1985,487,31,20,297,170,4.1,61.0,34.9,295,1573,62.3
tuscany-sca-2.x,660.7,16253,4265,2507,11429,646,99,346,50,250,53.6,7.7,38.7,1120,11207,36.7
incubator-kie-tools,1479.0,23597,8973,444,29041,5615,302,235,3520,1860,4.2,62.7,33.1,2914,23938,65.8
ant-ivy,118.9,3096,152,5,573,125,4,3,67,55,2.4,53.6,44.0,22,452,85.0
usergrid,357.1,10954,632,50,2637,299,31,23,141,135,7.7,47.2,45.2,283,2371,51.4
flink-cdc,124.5,1439,366,49,1203,188,5,4,94,90,2.1,50.0,47.9,129,1020,59.3
cxf-dosgi,30.5,810,154,12,225,71,3,8,35,28,11.3,49.3,39.4,71,157,50.0
servicecomb-saga-actuator,16.9,518,61,4,170,48,2,1,17,30,2.1,35.4,62.5,9,127,84.2
tapestry4,221.0,3793,395,6,2670,299,5,10,171,118,3.3,57.2,39.5,90,2376,76.9
maven-mercury,35.2,769,128,6,625,62,6,3,35,24,4.8,56.5,38.7,60,573,50.8
nutch,115.7,3545,180,3,983,138,3,2,80,56,1.4,58.0,40.6,39,848,78.0
ace,74.1,1603,243,21,1421,149,35,25,44,80,16.8,29.5,53.7,73,1328,67.1
dubbo,329.1,8634,2251,223,3923,1143,127,119,401,623,10.4,35.1,54.5,910,3025,56.4
seatunnel,336.4,5220,685,28,4357,364,16,13,147,204,3.6,40.4,56.0,293,4011,55.4
joshua,143.6,4256,107,4,861,61,12,5,20,36,8.2,32.8,59.0,42,814,59.2
